season,tier,cbs_player_id,player,points,hr,team_abbrev_FILL_ME,active_status
2001,star,ui-only-111188,Barry Bonds,867,73,,A
2001,star,ui-only-122544,Sammy Sosa,847,64,,A
2001,star,ui-only-114935,Luis E. Gonzalez,790,57,,A
2001,star,ui-only-115732,Todd Helton,785,49,,A
2001,star,ui-only-121347,Alex Rodriguez,754,52,,A
2001,star,ui-only-115094,Shawn Green,708,49,,A
2001,star,ui-only-114739,Jason Giambi,703,38,,A
2001,star,ui-only-136267,Troy Glaus,637,41,,A
2001,star,ui-only-113232,Carlos Delgado,628,39,,A
2001,star,ui-only-114260,Cliff Floyd,624,31,,A
2001,star,ui-only-120044,Magglio Ordonez,621,31,,A
2001,star,ui-only-114932,Jeremi Gonzalez,593,35,,A
2001,star,ui-only-123041,Mike Sweeney,573,29,,A
2001,star,ui-only-116999,Jeff Kent,570,22,,A
2001,star,ui-only-123173,Miguel Tejada,570,31,,A
2001,star,ui-only-121409,Scott Rolen,569,25,,A
2001,star,ui-only-110236,Garret Anderson,567,28,,A
2001,star,ui-only-116662,Andruw Jones,563,34,,A
2001,star,ui-only-118362,Tino Martinez,540,34,,A
2001,star,ui-only-120536,Mike Piazza,530,36,,A
2001,star,ui-only-123726,Fernando Vina,464,9,,A
2001,star,ui-only-136780,Mike Lowell,456,18,,A
2001,star,ui-only-134001,Paul Lo Duca,452,25,,A
2001,star,ui-only-115169,Jason Grimsley,369,0,,A
2001,star,ui-only-116569,Charles Johnson,367,18,,A
2001,star,ui-only-123595,Ismael Valdez,359,0,,A
2001,star,ui-only-150342,Jim Brower,331,0,,A
2001,star,ui-only-150439,Gary Matthews,328,14,,A
2001,star,ui-only-150037,Ray King,320,0,,A
2001,tail,ui-only-276056,Danys Baez,297,0,,A
2001,tail,ui-only-131702,Braden Looper,294,0,,A
2001,tail,ui-only-121215,Ricardo Rincon,289,0,,A
2001,tail,ui-only-124580,Tim Worrell,278,0,,A
2001,tail,ui-only-123725,Ron Villone,261,0,,A
2001,tail,ui-only-112690,Rheal Cormier,257,0,,A
2001,tail,ui-only-133221,Justin Speier,253,0,,A
2001,tail,ui-only-406913,Victor Zambrano,240,0,,A
2001,tail,ui-only-400063,Dave Williams,237,0,,A
2001,tail,ui-only-112031,Hector Carrasco,220,0,,A
2001,tail,ui-only-132660,Jolbert Cabrera,214,1,,A
