league_key,franchise_id,abbrev,franchise_name
cbs-bsb,1,FLV,Firefly Lake Vandals
cbs-bsb,2,TGUN,The Thunder Gulls
cbs-bsb,3,WOL,Wizards of Lisbon
cbs-bsb,4,JUNK,Junk Drawer All-Stars
cbs-bsb,5,NYN,New York Nightowls
cbs-bsb,6,KCM,Kansas City Meteors
cbs-bsb,7,CYB,Cybersaurs
cbs-bsb,8,EBB,"Hey, Ebbtide!"
cbs-bsb,9,DOB,Dugout Doughboys
cbs-bsb,10,HH,Hardball Hackers
cbs-bsb,11,HAY,Windmill Haymakers
cbs-bsb,12,NSFY,No Stats For You
cbs-bsb,13,FULT,Foster's Folly
cbs-bsb,14,BENT,Bent Spokes
cbs-bsb,15,CSC,Cedar Street Centaurs
cbs-bsb,16,SED,Serenade Brothers
cbs-bsb,17,BENT,Bent Spokes
cbs-bsb,18,SLB,Salt Lake Bisons
cbs-bsb,19,BOMB,Bayside Bombers
cbs-bsb,20,HGH,Homegrown Heroes
cbs-bsb,21,FF,Fastball Fanatics
cbs-bsb,22,KD,Kimball Drives
cbs-bsb,23,DAWG,Dusty Dawgs
cbs-bsb,24,EGG,El Gran Gato
cbs-bsb,25,TYR,Byzantine Tyrants
cbs-bsb,26,VCF,Victory Circle Firecrackers
cbs-bsb,27,DWAS,Deep Water All-Stars
cbs-bsb,28,KD,Kimball Drives
cbs-bsb,29,SANT,Silly Sandlots
cbs-bsb,30,FULT,Foster's Folly
cbs-bsb,31,VCF,Victory Circle Firecrackers
cbs-bsb,32,DEUC,Dugouts Wild
cbs-bsb,33,BWS,Baltic White Sox
cbs-bsb,34,MATT,14-30-8-24-5-15-13-20
