stat_name,espn_stat_id,stat_category,espn_stat_label,display_name,abbrev,is_counting,is_derived,derivation_expr,auto_tracked,is_record_candidate,polarity,qualifier_stat,qualifier_min,notes,canonical_key
AB,0,hitting,At Bats,At Bats,AB,true,false,,false,true,positive,,,,at_bats
H,1,hitting,Hits,Hits,H,true,false,,true,true,positive,,,Phase 6.3.3: not in scoring_settings but a universal counting stat -- always surface as records.,hits
AVG,2,hitting,Batting Average,Batting Average,AVG,false,false,,false,true,neutral,ab,225,,batting_avg
2B,3,hitting,Doubles,Doubles,2B,true,false,,true,true,positive,,,Auto-tracked for records even where unscored (CBS scores TB not 2B); ESPN already scores it so this is ESPN-neutral.,doubles
3B,4,hitting,Triples,Triples,3B,true,false,,true,true,positive,,,Auto-tracked for records even where unscored; ESPN-neutral.,triples
HR,5,hitting,Home Runs,Home Runs,HR,true,false,,true,true,positive,,,Auto-tracked for records even where unscored (CBS scores TB not HR); ESPN already scores it so this is ESPN-neutral.,home_runs
XBH,6,hitting,Extra Base Hits,Extra Base Hits,XBH,true,false,,true,true,positive,,,Phase 6.3.3: not in scoring_settings but a universal counting stat -- always surface as records.,extra_base_hits
1B,7,hitting,Singles,Singles,1B,true,false,,false,true,positive,,,,singles
TB,8,hitting,Total Bases,Total Bases,TB,true,false,,true,true,positive,,,Phase 6.3.3: not in scoring_settings but a universal counting stat -- always surface as records.,total_bases
SLG,9,hitting,Slugging Percentage,Slugging Percentage,SLG,false,false,,false,true,neutral,ab,225,,slugging_pct
B_BB,10,hitting,Walks (Batter),Walks (Batter),BB,true,false,,false,true,positive,,,,walks
B_IBB,11,hitting,Intentional Walks (Batter),Intentional Walks (Batter),IBB,true,false,,false,true,positive,,,,intentional_walks
HBP,12,hitting,Hit By Pitch,Hit by Pitch,HBP,true,false,,false,true,positive,,,,hit_by_pitch
SF,13,hitting,Sacrifice Flies,Sacrifice Flies,SF,true,false,,true,true,positive,,,Phase 6.3.3: not in scoring_settings but a universal counting stat -- always surface as records.,sac_flies
SH,14,hitting,Sacrifice Hits,Sacrifice Hits,SH,true,false,,false,false,neutral,,,,sac_bunts
SAC,15,hitting,Sacrifice Hits and Flies,Sacrifice Hits and Flies,SAC,true,false,,false,false,neutral,,,,
PA,16,hitting,Plate Appearances,Plate Appearances,PA,false,true,ab + b_bb + hbp + sf,true,true,positive,,,Phase 7 B1: ESPN stat ID 16 repurposed. Pipeline re-derives at mart (AB+B_BB+HBP+SF) because ESPN PA value is not aggregatable for us. One catalog row covers both senses.,
OBP,17,hitting,On Base Percentage,On Base Percentage,OBP,false,false,,false,true,neutral,ab,225,,on_base_pct
OPS,18,hitting,On Base Plus Slugging,On Base Plus Slugging,OPS,false,false,,false,true,neutral,ab,225,,ops
RC,19,hitting,Runs Created,Runs Created,RC,true,false,,false,false,neutral,,,,
R,20,hitting,Runs,Runs,R,true,false,,false,true,positive,,,,runs
RBI,21,hitting,Runs Batted In,RBIs,RBI,true,false,,false,true,positive,,,,rbi
22,22,hitting,Games Played (Batter; internal),Games Played (Batter; internal),22,false,false,,false,false,neutral,,,Stat_name kept as numeric to match raw breakdown VARIANT (espn-api wrapper doesn't translate this ID). Believed to be an internal batter game-played flag; always 1.0 when a batter appears. Functionally duplicates G (stat ID 81). Not scored.,
SB,23,hitting,Stolen Bases,Stolen Bases,SB,true,false,,false,true,positive,,,,stolen_bases
CS,24,hitting,Caught Stealing,Caught Stealing,CS,true,false,,false,true,negative,,,,caught_stealing
SB-CS,25,hitting,Net Stolen Bases,Net Stolen Bases,SB-CS,true,false,,false,false,neutral,,,,
GDP,26,hitting,Grounded Into Double Play,GIDP (Batter),GIDP,true,false,,false,true,negative,,,,gidp
B_SO,27,hitting,Strikeouts (Batter),Strikeouts (Batter),K,true,false,,false,true,negative,,,,strikeouts_batting
PS,28,hitting,Pitches Seen,Pitches Seen,PS,true,false,,false,false,neutral,,,,
PPA,29,hitting,Pitches Per Plate Appearance,Pitches Per Plate Appearance,PPA,false,false,,false,false,neutral,,,,
30,30,hitting,Hit for the Cycle,Hit for the Cycle,CYC,true,false,,false,true,positive,,,"Stat_name kept as numeric to match raw breakdown VARIANT (espn-api wrapper does not translate). Confirmed via Phase 7 archaeology: 15-pt scoring weight (same rare-event tier as NH/PG/SHO) and 2 observed rows across 2 seasons (Carson Kelly, Byron Buxton). v1.x promoted to tracked stat with wide cyc column on all four facts and 'First cycle of the season!' callout in league_notes.py.",
STAT_31,31,unknown,ESPN internal stat ID 31,ESPN internal stat ID 31,STAT_31,false,false,,false,false,neutral,,,"Phase 7: the espn-api wrapper translates stat ID 31 to 'CYC' via its STATS_MAP, but the data is NOT cycles (148 non-zero rows across 113 distinct players over 2 seasons -- impossible for cycles; real MLB has ~5-10 league-wide per year). No scoring weight. Likely some ESPN daily-achievement flag (multi-hit game? hit-for-extra-bases?). v1.x: renamed from 'CYC' to 'STAT_31' so the real cycles stat (id 30, promoted in v1.x) can own the CYC leaderboard column without dict-collision in stat_catalog helpers. stg_player_stat_breakdowns filters wrapper-emitted 'CYC' rows so the FK invariant holds without this row needing a matching breakdown key.",
GP,32,pitching,Games Pitched,Games Pitched,GP,true,false,,false,false,neutral,,,,appearances_pitching
GS,33,pitching,Games Started,Games Started,GS,true,false,,false,false,neutral,,,,games_started_pitching
OUTS,34,pitching,Outs Recorded,Innings Pitched,IP,true,false,,false,true,positive,,,,outs_recorded
TBF,35,pitching,Total Batters Faced,Total Batters Faced,TBF,true,false,,false,false,neutral,,,,batters_faced
P,36,pitching,Pitches Thrown,Pitches Thrown,P,true,false,,false,false,neutral,,,,pitch_count
P_H,37,pitching,Hits Allowed,Hits Allowed,H,true,false,,false,true,negative,,,,hits_allowed
OBA,38,pitching,Opponent Batting Average,Opponent Batting Average,OBA,false,false,,false,false,neutral,,,,opp_batting_avg
P_BB,39,pitching,Walks Allowed,Walks Allowed,BB,true,false,,false,true,negative,,,,walks_issued
P_IBB,40,pitching,Intentional Walks Allowed,Intentional Walks Allowed,P_IBB,true,false,,false,false,neutral,,,,intentional_walks_issued
WHIP,41,pitching,Walks Plus Hits Per Inning,WHIP,WHIP,false,false,,false,true,negative,outs,150,Phase 7 B1: rate stat. Always-tracked enables both directions in new-records section.,whip
HBP_P,42,pitching,Hit Batters (Pitcher),Hit Batters,HBP,true,false,,false,true,negative,,,Shares abbreviation HBP with batter stat (ID 12). Renamed to HBP_P to disambiguate.,hit_batsmen
OOBP,43,pitching,Opponent On Base Percentage,Opponent On Base Percentage,OOBP,false,false,,false,false,neutral,,,,opp_on_base_pct
P_R,44,pitching,Runs Allowed,Runs Allowed,R,true,false,,false,true,negative,,,,runs_allowed
ER,45,pitching,Earned Runs,Earned Runs,ER,true,false,,true,true,negative,,,Phase 6.3.3: not in scoring_settings but a universal counting stat -- always surface as records.,earned_runs
P_HR,46,pitching,Home Runs Allowed,Home Runs Allowed,HR,true,false,,false,true,negative,,,,home_runs_allowed
ERA,47,pitching,Earned Run Average,ERA,ERA,false,false,,false,true,negative,outs,150,Phase 7 B1: rate stat. Always-tracked makes seed match consumer intent; surfaces both directions in new-records section (Best ERA / Worst ERA).,era
K,48,pitching,Strikeouts (Pitcher),Strikeouts (Pitcher),K,true,false,,false,true,positive,,,,strikeouts_pitching
K_PER_9,49,pitching,Strikeouts Per 9 Innings,K/9,K/9,false,false,,false,true,positive,outs,150,Phase 7 B1: renamed from K/9 to match leaderboard column. Stg filter drops raw K/9 breakdown rows (no downstream consumer; is_counting=false anyway).,k_per_9
