path,category,digest,disposition,reason,recorded
.env.example,owner,c346ca1e4cb396aa,collision,Ordinary non-identity wording in MLB-209 prose about an empty bundled OAuth descriptor; not an owner reference,2026-08-12
CHANGELOG.md,owner,b68f6866e276467d,collision,"an MLB player's name, not a league member",2026-08-10
README.md,owner,bd82e0cc5c1b69de,collision,"an MLB player's name, not a league member",2026-08-10
README.md,owner,dace7a87a2cfc627,collision,"an MLB player's name, not a league member",2026-08-10
README.md,owner,ed341895d200b7ba,collision,"an MLB player's name, not a league member",2026-08-10
README.md,owner,f778554e5c3b5464,collision,"an MLB player's name, not a league member",2026-08-10
archive/phase_3.3_doubleheader_debug__turang_raw.json,team-id,6ce621a540658602,retain,a diagnostic probe or captured payload needs a concrete team; a low-entropy team id grants nothing without the league id and credentials,2026-08-10
dbt_league/README.md,owner,50aa59ac73d937d4,collision,"the ordinary English word, used in its ordinary sense",2026-08-10
dbt_league/macros/cbs_name_key.sql,owner,0775ffd064355c9d,collision,"an MLB player's name, not a league member",2026-08-10
dbt_league/macros/cbs_name_key.sql,owner,2a745bad290c91dd,collision,"an MLB player's name, not a league member",2026-08-10
dbt_league/models/intermediate/int_cbs__player_name_ids.sql,owner,224c7455d82d7435,collision,"an MLB player's name, not a league member",2026-08-10
dbt_league/models/intermediate/int_cbs__player_name_ids.sql,owner,4208a42da0501ba6,collision,"an MLB player's name, not a league member",2026-08-10
dbt_league/models/intermediate/int_cbs__player_name_ids.sql,owner,e0d0ddac52c4809a,collision,"an MLB player's name, not a league member",2026-08-10
dbt_league/models/intermediate/int_cbs__roster_stints.sql,owner,77491e9aa5026e89,collision,"an MLB player's name, not a league member",2026-08-10
dbt_league/seeds/schema.yml,owner,0f2fc185ab1bcf74,collision,"an MLB player's name, not a league member",2026-08-10
dbt_league/seeds/schema.yml,owner,5ed79f73719c1bf2,collision,"the ordinary English word, used in its ordinary sense",2026-08-10
dbt_league/seeds/schema.yml,owner,cba349c2d640dd63,collision,"the ordinary English word, used in its ordinary sense",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,08b78b6efc9a95d3,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,0e8f6af0ce70a477,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,10fcb2818576c5f4,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,164f41ae7b541164,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,18dccdb5715d5755,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,22aac47c25bbda85,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,39411e840690d000,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,55d0a1b69fea6ae5,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,5bfc16084c456a45,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,5f5620c60ea44c8b,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,659c79b938ba7689,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,6fcc40defe92bb98,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,8a3760f0698f576e,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,8bd6284886da8324,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,9ca74d2c85bc4e5c,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,9f92730c0a2d8730,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,b2562dc8549ef104,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,b762e4d980955687,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,b7fa03518091de4c,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,bba2d11fffcdcdd3,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,bcc7e9ff2c9be271,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,bcccffa16409b41e,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,c8e198a3a76c2fa7,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,c8fb4a8f17e8b675,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,ccfad73f2d082cfb,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,d6394f252d0c2629,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,e2075ae6d7cf935d,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,eb2d06c6bc63ac67,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,ec29ae5a25cfd05a,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,f04036b8388227a7,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,fd13f285cb9a2a04,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/cbs_early_anchors_backfill.csv,owner,fe5ab959596ad70a,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/owner_nicknames.csv,owner,c9ec600a31116c0e,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/owner_nicknames.csv,owner,f7594a7e12be4a57,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,0714510ba3168e9e,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,1b9372aa743500aa,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,305a21ee54600abc,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,3179fc69ee6e6a9e,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,4c6d5f57329fb1d4,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,4d4d8a9fc4bb976d,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,530a1eed9078b672,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,66097d4f95bc48f8,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,771a9218972c5cf1,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,7b355eaeeafc1d91,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,998693ad3e2b141d,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,aa11436d3138a9b8,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,ae5ba65f42d0f5ea,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,b0a611c5d5c87b4a,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,b1ee864c27622b02,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,bab96155ac49f514,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,bc1891c372ee13ec,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/team_owner_by_year.csv,owner,cba4f15ed72564f6,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,d61840dfa48730f1,collision,a published synthetic twin fixture,2026-08-10
demo/league_config/team_owner_by_year.csv,owner,e49b5dab6fc45052,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/team_owner_by_year.csv,owner,e6021326321246d5,collision,"an MLB player's name, not a league member",2026-08-10
demo/league_config/team_owner_by_year.csv,owner,efcf107bb02e1822,collision,a published synthetic twin fixture,2026-08-10
docs/archive/CBS Almanac Handoff.md,owner,a11dd35b6a757fce,collision,"an MLB player's name, not a league member",2026-08-10
docs/archive/CBS Almanac Handoff.md,owner,da9d7743ff79bfc2,collision,"an MLB player's name, not a league member",2026-08-10
docs/archive/DRAFT_RECAP_PROGRESS.md,owner,3b128132b792867f,collision,"an MLB player's name, not a league member",2026-08-10
docs/archive/DRAFT_RECAP_PROGRESS.md,owner,7ec22a5fe991a942,collision,"an MLB player's name, not a league member",2026-08-10
docs/archive/HANDOFF_BSB_JULY20_SHARE.md,owner,64c7bc1718bcc6e3,collision,"an MLB player's name, not a league member",2026-08-10
docs/archive/HANDOFF_BSB_JULY20_SHARE.md,owner,7339bfcbf792abbd,collision,"an MLB player's name, not a league member",2026-08-10
docs/archive/HANDOFF_DRAFT_RECAP_SESSION.md,owner,d427eacfe9372535,collision,"an MLB player's name, not a league member",2026-08-10
docs/archive/MLB-129-crosswalk-spike-report.md,owner,a7a09f1d22cdb66d,collision,"an MLB player's name, not a league member",2026-08-10
docs/archive/MLB-129-exit1-gamelevel-handoff.md,owner,745d9d9a23aaf444,collision,"an MLB player's name, not a league member",2026-08-10
